state,county,avg_price,total_price,total_transactions
South Carolina,Allendale County,444785.71428571426,9340500.0,21.0
South Carolina,Barnwell County,226515.375,25369722.0,112.0
South Carolina,McCormick County,135957.42067307694,56558287.0,416.0
South Carolina,Edgefield County,250323.62051282052,48813106.0,195.0
South Carolina,Beaufort County,622486.4467805519,2368560930.0,3805.0
South Carolina,Hampton County,227333.16822429906,24324649.0,107.0
South Carolina,Jasper County,445744.3590504451,150215849.0,337.0
Georgia,DeKalb County,476567.36266552756,2231288392.0,4682.0
Georgia,Gwinnett County,457013.0214535902,2087635482.0,4568.0
Georgia,Fulton County,629384.8488970946,6476999480.0,10291.0
Georgia,Cobb County,467339.56316553726,1931047075.0,4138.0
Georgia,Barrow County,377177.71058558556,334933807.0,888.0
Georgia,Rockdale County,301962.5444444445,163059774.0,540.0
Georgia,Newton County,296438.0,274798026.0,927.0
Georgia,Walton County,458498.88441331,261802863.0,571.0
Georgia,Forsyth County,622056.2057613168,755798290.0,1215.0
Georgia,Cherokee County,527115.5275294117,1120120496.0,2125.0
Georgia,Bartow County,395856.25235849054,335686102.0,848.0
Georgia,Polk County,234335.23410404625,81079991.0,346.0
Georgia,Floyd County,260315.96475770924,177275172.0,681.0
Georgia,Carroll County,317957.2983230362,360245619.0,1133.0
Georgia,Haralson County,266288.45625,85212306.0,320.0
Georgia,Douglas County,322110.24360400444,289577109.0,899.0
Georgia,Paulding County,394722.7786259542,361960788.0,917.0
Georgia,Gordon County,356192.97161572054,163136381.0,458.0
Georgia,Pickens County,314724.1739552964,323851175.0,1029.0
Georgia,Lamar County,275358.2428571429,57825231.0,210.0
Georgia,Fayette County,489522.3210784314,399450214.0,816.0
Georgia,Pike County,335049.7042253521,71365587.0,213.0
Georgia,Spalding County,254941.66297468354,161123131.0,632.0
Georgia,Butts County,334722.12302839116,106106913.0,317.0
Georgia,Heard County,245298.29090909092,13491406.0,55.0
Georgia,Meriwether County,252994.47899159664,30106343.0,119.0
Georgia,Coweta County,418478.85253456223,454049555.0,1085.0
Georgia,Henry County,365360.76888080075,803062970.0,2198.0
Georgia,Troup County,343064.54672897194,146831626.0,428.0
Georgia,Clayton County,243343.6407438715,287875527.0,1183.0
Georgia,Upson County,236841.49763033175,49973556.0,211.0
Georgia,Emanuel County,146733.56043956045,13352754.0,91.0
Georgia,Montgomery County,210690.29032258064,6531399.0,31.0
Georgia,Wheeler County,225809.11111111112,2032282.0,9.0
Georgia,Jefferson County,245474.4084507042,17428683.0,71.0
Georgia,Evans County,284252.6666666667,17055160.0,60.0
Georgia,Bulloch County,297702.62913907284,134859291.0,453.0
Georgia,Tattnall County,156636.4606741573,13940645.0,89.0
Georgia,Screven County,149798.47297297296,11085087.0,74.0
Georgia,Burke County,247703.89756944444,142677445.0,576.0
Georgia,Toombs County,225316.1274509804,22982245.0,102.0
Georgia,Candler County,164571.47826086957,7570288.0,46.0
Georgia,Jenkins County,209127.6595744681,9829000.0,47.0
Georgia,Laurens County,161089.89955357142,72168275.0,448.0
Georgia,Treutlen County,183520.0,2752800.0,15.0
Georgia,Hall County,419817.51098511694,592362508.0,1411.0
Georgia,Habersham County,267880.81272727274,147334447.0,550.0
Georgia,Banks County,346751.2108843537,50972428.0,147.0
Georgia,Union County,225932.57205240175,206954236.0,916.0
Georgia,Fannin County,554056.7817142857,484799684.0,875.0
Georgia,Hart County,299531.5876777251,63201165.0,211.0
Georgia,Jackson County,449688.24727577536,536478079.0,1193.0
Georgia,Franklin County,307615.8461538461,67983102.0,221.0
Georgia,Gilmer County,261550.4704579025,354139337.0,1354.0
Georgia,Rabun County,296029.0328719723,171104781.0,578.0
Georgia,White County,238469.33759590794,93241511.0,391.0
Georgia,Lumpkin County,354093.28965517244,102687054.0,290.0
Georgia,Dawson County,455533.4963235294,123905111.0,272.0
Georgia,Stephens County,198567.2627737226,54407430.0,274.0
Georgia,Towns County,181721.11710323574,117937005.0,649.0
Georgia,Clarke County,445151.3461538461,312496245.0,702.0
Georgia,Oglethorpe County,420835.75384615385,27354324.0,65.0
Georgia,Oconee County,461654.4160583942,126493310.0,274.0
Georgia,Morgan County,516953.40549828176,150433441.0,291.0
Georgia,Elbert County,205615.30061349692,33515294.0,163.0
